iter	RMSE
0	114384.406
1	104579.4493
2	95664.10985
3	87525.98378
4	80539.03485
5	74412.65525
6	68627.59204
7	63450.54816
8	58930.2562
9	54942.53192
10	51460.99881
11	48344.32702
12	45662.5115
13	43229.19248
14	41099.06623
15	39244.86901
16	37582.03757
17	36123.35409
18	34792.83108
19	33772.58185
20	32818.59604
21	31829.22561
22	31059.69604
23	30407.74768
24	29805.12752
25	29165.51286
26	28653.92285
27	28089.01687
28	27677.26087
29	27217.28798
30	26909.34405
31	26606.38055
32	26260.98813
33	25957.16596
34	25686.17581
35	25401.16512
36	25182.36948
37	24970.62795
38	24745.47233
39	24590.11524
40	24380.0125
41	24273.51662
42	24069.21154
43	23949.26814
44	23808.01605
45	23626.89779
46	23461.18466
47	23364.64598
48	23174.70339
49	22992.33586
50	22842.77175
51	22771.75644
52	22617.96257
53	22436.66928
54	22291.90223
55	22198.3587
56	22044.50494
57	21955.57158
58	21888.59202
59	21822.7034
60	21767.58906
61	21711.67271
62	21648.38906
63	21596.78365
64	21465.40259
65	21291.73212
66	21226.62185
67	21103.01248
68	20988.08382
69	20912.61524
70	20875.65807
71	20830.72182
72	20778.87281
73	20656.99421
74	20564.34464
75	20470.32061
76	20421.96712
77	20311.11957
78	20240.36281
79	20154.74304
80	20112.41394
81	20073.98866
82	20033.16754
83	20001.68959
84	19942.6014
85	19825.28151
86	19778.10554
87	19682.31017
88	19638.2651
89	19542.65767
90	19511.06085
91	19404.32286
92	19350.76329
93	19234.35318
94	19177.1879
95	19102.99647
96	19068.64655
97	19012.70712
98	18945.72065
99	18904.50604
100	18864.7966
101	18751.38049
102	18726.70862
103	18682.01494
104	18661.54314
105	18609.78658
106	18575.20247
107	18486.30538
108	18428.80485
109	18393.246
110	18348.02297
111	18313.77939
112	18277.53689
113	18250.81685
114	18182.2271
115	18118.1379
116	18083.36134
117	18060.20313
118	18028.2
119	17891.36693
120	17780.23405
121	17726.49735
122	17692.40638
123	17640.29399
124	17589.06203
125	17576.04044
126	17547.52585
127	17514.8329
128	17458.83117
129	17441.70881
130	17325.23326
131	17299.64481
132	17262.23121
133	17233.00404
134	17154.82166
135	17115.33839
136	17055.82182
137	17016.11634
138	16988.89039
139	16943.01672
140	16916.20464
141	16854.0782
142	16804.41883
143	16779.06856
144	16754.49775
145	16706.27638
146	16624.343
147	16602.32275
148	16549.72787
149	16503.93824
150	16467.58995
151	16445.38605
152	16354.42044
153	16286.15143
154	16261.7976
155	16237.47935
156	16218.77603
157	16149.99905
158	16115.75374
159	16084.21565
160	16065.29749
161	16032.3858
162	16011.42053
163	15987.1553
164	15945.96698
165	15931.48167
166	15904.03625
167	15874.98558
168	15859.91422
169	15795.49271
170	15757.9857
171	15730.78831
172	15670.12008
173	15646.26719
174	15591.93053
175	15576.55026
176	15550.97831
177	15511.9972
178	15499.50495
179	15479.8458
180	15468.44163
181	15439.63071
182	15410.37922
183	15373.22966
184	15362.77254
185	15343.59119
186	15303.43289
187	15277.86094
188	15234.51857
189	15225.81959
190	15204.43122
191	15178.14191
192	15133.70644
193	15091.71527
194	15073.44601
195	15023.12744
196	15001.01103
197	14955.12793
198	14930.02811
199	14891.94029
200	14857.83626
201	14822.45592
202	14780.59659
203	14746.42202
204	14717.75927
205	14697.56562
206	14662.64036
207	14630.20662
208	14611.23641
209	14588.98229
210	14569.57519
211	14546.50407
212	14534.14044
213	14518.76842
214	14510.93644
215	14503.67725
216	14468.8738
217	14454.90601
218	14425.55753
219	14419.1429
220	14407.44247
221	14395.29576
222	14388.98404
223	14378.59051
224	14369.35788
225	14362.70093
226	14357.90469
227	14353.25661
228	14349.43718
229	14345.55567
230	14342.26209
231	14310.8246
232	14279.689
233	14269.96381
234	14265.56005
235	14239.13947
236	14201.68316
237	14176.18298
238	14173.08308
239	14149.61456
240	14121.01572
241	14093.98277
242	14058.11311
243	14043.64946
244	14019.22876
245	13993.8672
246	13981.41398
247	13965.80309
248	13949.19726
249	13921.86104
250	13891.60355
251	13881.55895
252	13858.09105
253	13836.19108
254	13825.01156
255	13812.41359
256	13790.5567
257	13770.74845
258	13739.53839
259	13729.80724
260	13710.86856
261	13697.06468
262	13677.39211
263	13666.10049
264	13645.87674
265	13622.6891
266	13606.80841
267	13598.49609
268	13581.34097
269	13567.86118
270	13559.86569
271	13541.41
272	13523.99678
273	13511.11222
274	13493.33987
275	13475.71894
276	13457.25786
277	13438.53327
278	13426.51828
279	13404.33958
280	13380.44129
281	13351.06933
282	13332.75287
283	13321.40661
284	13302.72653
285	13271.28502
286	13257.98748
287	13238.93482
288	13234.13851
289	13220.63274
290	13216.30613
291	13201.02216
292	13170.91144
293	13147.56072
294	13137.45781
295	13123.9655
296	13117.33298
297	13101.39583
298	13094.01392
299	13076.08732
300	13068.0179
301	13055.22442
302	13046.86494
303	13030.60368
304	13015.62294
305	13002.17598
306	12991.00311
307	12988.41745
308	12972.24242
309	12954.17427
310	12935.11445
311	12932.62898
312	12912.00959
313	12909.73513
314	12903.43978
315	12893.13196
316	12873.84055
317	12859.66766
318	12852.95546
319	12838.30967
320	12820.88864
321	12816.55887
322	12805.24852
323	12793.3332
324	12791.25443
325	12782.61074
326	12780.70874
327	12770.66745
328	12756.38789
329	12738.06675
330	12726.84046
331	12711.94063
