iter	Passed	Remaining
0	4	4638
1	9	4984
2	14	4749
3	18	4681
4	23	4722
5	28	4739
6	33	4683
7	37	4625
8	42	4707
9	47	4687
10	51	4655
11	56	4677
12	61	4674
13	66	4679
14	71	4695
15	75	4672
16	80	4657
17	84	4612
18	89	4603
19	93	4576
20	97	4557
21	102	4543
22	106	4534
23	110	4509
24	115	4488
25	119	4485
26	124	4494
27	128	4471
28	133	4456
29	138	4484
30	142	4460
31	146	4435
32	151	4444
33	155	4429
34	159	4410
35	164	4393
36	169	4399
37	173	4390
38	177	4371
39	181	4356
40	185	4348
41	189	4332
42	194	4322
43	198	4310
44	202	4305
45	207	4300
46	211	4292
47	216	4290
48	220	4281
49	224	4272
50	229	4265
51	233	4265
52	239	4270
53	243	4258
54	247	4252
55	251	4243
56	255	4232
57	260	4223
58	264	4221
59	268	4212
60	272	4200
61	277	4193
62	282	4195
63	285	4182
64	290	4176
65	294	4172
66	299	4166
67	303	4158
68	307	4150
69	312	4145
70	317	4151
71	322	4154
72	326	4150
73	331	4152
74	336	4150
75	340	4143
76	345	4143
77	350	4141
78	354	4136
79	359	4132
80	363	4127
81	367	4118
82	371	4109
83	376	4103
84	380	4098
85	384	4090
86	389	4083
87	393	4082
88	397	4073
89	402	4064
90	406	4056
91	410	4054
92	415	4048
93	419	4042
94	423	4038
95	428	4038
96	434	4042
97	438	4035
98	443	4032
99	447	4024
100	451	4017
101	456	4017
102	460	4009
103	464	4003
104	468	3996
105	473	3994
106	478	3992
107	482	3985
108	486	3978
109	491	3976
110	495	3971
111	500	3964
112	504	3962
113	508	3954
114	513	3948
115	517	3942
116	522	3939
117	526	3932
118	530	3926
119	534	3923
120	539	3922
121	544	3919
122	548	3914
123	554	3915
124	558	3912
125	563	3908
126	567	3904
127	572	3897
128	576	3893
129	580	3888
130	585	3885
131	590	3882
132	594	3875
133	598	3869
134	603	3868
135	608	3866
136	613	3861
137	618	3863
138	622	3857
139	627	3853
140	632	3850
141	636	3847
142	641	3844
143	645	3837
144	650	3834
145	654	3828
146	658	3822
147	662	3814
148	666	3809
149	671	3804
150	675	3798
151	679	3792
152	684	3788
153	688	3781
154	692	3774
155	697	3775
156	703	3775
157	707	3771
158	712	3769
159	716	3764
160	721	3758
161	725	3752
162	730	3749
163	734	3744
164	738	3739
165	743	3733
166	748	3732
167	752	3728
168	756	3721
169	761	3717
170	765	3712
171	770	3706
172	775	3705
173	779	3701
174	784	3697
175	788	3689
176	792	3686
177	800	3695
178	804	3690
179	809	3686
180	813	3680
181	817	3674
182	821	3669
183	826	3666
184	830	3659
185	834	3653
186	838	3647
187	844	3645
188	849	3644
189	853	3638
190	857	3633
191	861	3627
192	866	3621
193	870	3615
194	875	3613
195	879	3608
196	883	3602
197	888	3598
198	893	3594
199	897	3588
200	901	3583
201	906	3582
202	911	3576
203	915	3572
204	920	3569
205	925	3565
206	929	3560
207	933	3554
208	938	3550
209	943	3548
210	947	3543
211	951	3538
212	956	3533
213	960	3526
214	964	3520
215	968	3514
216	973	3511
217	977	3505
218	981	3499
219	985	3495
220	991	3494
221	995	3489
222	999	3484
223	1004	3480
224	1008	3474
225	1012	3468
226	1016	3462
227	1021	3457
228	1025	3451
229	1029	3445
230	1034	3443
231	1038	3436
232	1042	3431
233	1046	3425
234	1051	3421
235	1055	3417
236	1060	3412
237	1064	3408
238	1068	3403
239	1073	3398
240	1077	3393
241	1082	3390
242	1086	3385
243	1090	3379
244	1094	3373
245	1099	3370
246	1103	3364
247	1107	3359
248	1112	3355
249	1117	3353
250	1122	3350
251	1126	3344
252	1131	3341
253	1136	3337
254	1140	3331
255	1145	3327
256	1149	3324
257	1153	3318
258	1158	3313
259	1163	3310
260	1167	3305
261	1171	3300
262	1175	3294
263	1180	3291
264	1184	3286
265	1189	3281
266	1193	3277
267	1198	3272
268	1202	3267
269	1206	3262
270	1211	3258
271	1215	3254
272	1220	3249
273	1224	3245
274	1229	3241
275	1233	3236
276	1237	3231
277	1242	3227
278	1247	3222
279	1251	3218
280	1255	3213
281	1260	3209
282	1265	3207
283	1270	3202
284	1274	3198
285	1280	3195
286	1284	3190
287	1288	3186
288	1293	3181
289	1297	3177
290	1301	3171
291	1306	3167
292	1310	3163
293	1315	3157
294	1319	3153
295	1324	3150
296	1328	3144
297	1332	3139
298	1337	3135
299	1341	3130
300	1345	3124
301	1349	3119
302	1354	3115
303	1359	3112
304	1364	3108
305	1368	3103
306	1373	3099
307	1377	3094
308	1381	3089
309	1386	3085
310	1390	3081
311	1394	3075
312	1399	3070
313	1403	3066
314	1407	3061
315	1412	3056
316	1416	3052
317	1421	3047
318	1425	3042
319	1429	3037
320	1434	3034
321	1438	3028
322	1442	3023
323	1447	3019
324	1451	3015
325	1456	3010
326	1460	3004
327	1464	3000
328	1469	2997
329	1474	2993
330	1478	2988
331	1483	2985
332	1487	2980
333	1492	2975
334	1496	2970
335	1501	2966
336	1505	2962
337	1510	2958
338	1514	2953
339	1519	2949
340	1523	2945
341	1528	2940
342	1533	2937
343	1537	2932
344	1542	2928
345	1547	2925
346	1552	2922
347	1557	2918
348	1562	2913
349	1567	2910
350	1571	2905
351	1575	2900
352	1580	2897
353	1584	2892
354	1589	2888
355	1594	2883
356	1598	2879
357	1603	2875
358	1607	2870
359	1612	2867
360	1617	2862
361	1621	2856
362	1625	2851
363	1630	2848
364	1634	2843
365	1638	2837
366	1642	2833
367	1647	2829
368	1651	2824
369	1655	2819
370	1661	2817
371	1670	2820
372	1680	2825
373	1689	2828
374	1700	2833
375	1710	2838
376	1719	2841
377	1729	2846
378	1738	2848
379	1747	2851
380	1756	2854
381	1769	2862
382	1781	2869
383	1791	2873
384	1799	2873
385	1809	2877
386	1817	2879
387	1826	2880
388	1835	2882
389	1845	2886
390	1855	2889
391	1865	2892
392	1875	2897
393	1884	2897
394	1892	2899
395	1901	2900
396	1909	2901
397	1919	2903
398	1928	2905
399	1938	2908
400	1947	2908
401	1958	2913
402	1968	2916
403	1977	2917
404	1987	2919
405	1996	2920
406	2005	2922
407	2015	2924
408	2025	2926
409	2034	2928
410	2043	2928
411	2053	2931
412	2062	2931
413	2072	2933
414	2082	2936
415	2091	2935
416	2101	2937
417	2109	2937
418	2118	2937
419	2127	2938
420	2136	2938
421	2144	2937
422	2153	2937
423	2162	2938
424	2171	2938
425	2181	2939
426	2191	2940
427	2199	2940
428	2208	2939
429	2217	2939
430	2226	2939
431	2235	2938
432	2244	2939
433	2255	2941
434	2264	2940
435	2273	2940
436	2282	2941
437	2291	2940
438	2300	2939
439	2310	2940
440	2319	2940
441	2328	2940
442	2338	2940
443	2347	2940
444	2358	2940
445	2366	2939
446	2376	2939
447	2385	2939
448	2395	2939
449	2404	2939
450	2413	2938
451	2423	2937
452	2432	2936
453	2441	2936
454	2450	2935
455	2459	2934
456	2470	2935
457	2481	2936
458	2492	2937
459	2502	2938
460	2513	2939
461	2524	2939
462	2533	2938
463	2543	2938
464	2553	2938
465	2563	2937
466	2572	2936
467	2582	2936
468	2592	2935
469	2602	2934
470	2611	2933
471	2620	2931
472	2630	2930
473	2638	2928
474	2648	2927
475	2657	2925
476	2668	2925
477	2677	2924
478	2687	2922
479	2696	2921
480	2705	2919
481	2714	2917
482	2723	2915
483	2735	2916
484	2747	2916
485	2756	2915
486	2765	2913
487	2774	2910
488	2815	2942
489	2853	2970
490	2887	2992
491	2909	3003
492	2921	3004
493	2954	3026
494	2966	3025
495	2976	3024
496	2988	3024
497	2998	3023
498	3008	3020
499	3019	3019
500	3029	3017
501	3040	3016
502	3051	3015
503	3062	3013
504	3073	3012
505	3084	3011
506	3094	3008
507	3104	3006
508	3113	3003
509	3123	3000
510	3133	2998
511	3143	2996
512	3155	2995
513	3168	2996
514	3180	2995
515	3200	3001
516	3212	3001
517	3229	3004
518	3236	2999
519	3243	2993
520	3249	2987
521	3254	2979
522	3259	2972
523	3265	2966
524	3270	2958
525	3275	2951
526	3280	2944
527	3286	2937
528	3290	2930
529	3295	2922
530	3300	2915
531	3306	2908
532	3314	2903
533	3318	2896
534	3324	2889
535	3329	2882
536	3334	2874
537	3339	2867
538	3345	2861
539	3350	2854
540	3355	2846
541	3360	2839
542	3365	2832
543	3370	2825
544	3376	2818
545	3381	2811
546	3386	2804
547	3391	2797
548	3397	2790
549	3402	2783
550	3407	2776
551	3412	2769
552	3418	2762
553	3423	2755
554	3428	2749
555	3433	2742
556	3438	2734
557	3444	2728
